
	0	0	1	1	1	1	1	1	1	1	1	1	1 to 2
	0	1	0	1	1	0	1	1	1	1	1	1	1 to 6
	0	1	0	1	1	0	0	0	1	1	1	1	1 to 8
	0	1	0	1	1	0	0	1	0	0	1	1	1 to 10
	0	1	0	1	1	0	0	1	0	1	0	1	1 to 11
	0	1	0	1	1	0	0	1	0	1	1	0	1 to 12
	1	0	0	1	1	0	1	1	1	1	1	1	2 to 6
	1	0	0	1	1	0	0	0	1	1	1	1	2 to 8
	1	0	0	1	1	0	0	1	0	0	1	1	2 to 10
	1	0	0	1	1	0	0	1	0	1	0	1	2 to 11
	1	0	0	1	1	0	0	1	0	1	1	0	2 to 12
	1	1	1	1	1	0	0	0	1	1	1	1	6 to 8
	1	1	1	1	1	0	0	1	0	0	1	1	6 to 10
	1	1	1	1	1	0	0	1	0	1	0	1	6 to 11
	1	1	1	1	1	0	0	1	0	1	1	0	6 to 12
	1	1	1	1	1	1	0	0	0	0	1	1	8 to 10
	1	1	1	1	1	1	0	0	0	1	0	1	8 to 11
	1	1	1	1	1	1	0	0	0	1	1	0	8 to 12
	1	1	1	1	1	1	1	1	0	0	0	1	10 to 11
	1	1	1	1	1	1	1	1	0	0	1	0	10 to 12
	1	1	1	1	1	1	1	1	0	1	0	0	11 to 12
	1	0	0	0	0	0	0	0	0	0	0	0	1 to 0
	0	1	0	0	0	0	0	0	0	0	0	0	2 to 0
	0	0	1	0	0	0	0	0	0	0	0	0	3 to 0
	0	0	0	1	0	0	0	0	0	0	0	0	4 to 0
	0	0	0	0	1	0	0	0	0	0	0	0	5 to 0
	0	0	0	0	0	1	0	0	0	0	0	0	6 to 0
	0	0	0	0	0	0	1	0	0	0	0	0	7 to 0
	0	0	0	0	0	0	0	1	0	0	0	0	8 to 0
	0	0	0	0	0	0	0	0	1	0	0	0	9 to 0
	0	0	0	0	0	0	0	0	0	1	0	0	10 to 0
	0	0	0	0	0	0	0	0	0	0	1	0	11 to 0
	0	0	0	0	0	0	0	0	0	0	0	1	12 to 0
