
	1800	2000	200	200	200	200	200	200	200	200	200	200	1 to 2
	1800	200	1500	200	200	2000	200	200	200	200	200	200	1 to 6
	1800	400	1500	400	400	2000	1700	2200	400	400	400	400	1 to 8
	1800	500	1500	500	500	2000	1700	500	1400	2700	500	500	1 to 10
	1800	500	1500	500	500	2000	1700	500	1400	500	2700	500	1 to 11
	1800	500	1500	500	500	2000	1700	500	1400	500	500	2700	1 to 12
	200	1800	1500	200	200	2000	200	200	200	200	200	200	2 to 6
	400	1800	1500	400	400	2000	1700	2200	400	400	400	400	2 to 8
	500	1800	1500	500	500	2000	1700	500	1400	2700	500	500	2 to 10
	500	1800	1500	500	500	2000	1700	500	1400	500	2700	500	2 to 11
	500	1800	1500	500	500	2000	1700	500	1400	500	500	2700	2 to 12
	200	200	200	200	200	1800	1500	2000	200	200	200	200	6 to 8
	300	300	300	300	300	1800	1500	300	1200	2500	300	300	6 to 10
	300	300	300	300	300	1800	1500	300	1200	300	2500	300	6 to 11
	300	300	300	300	300	1800	1500	300	1200	300	300	2500	6 to 12
	300	300	300	300	300	300	1500	1800	1200	2500	300	300	8 to 10
	300	300	300	300	300	300	1500	1800	1200	300	2500	300	8 to 11
	300	300	300	300	300	300	1500	1800	1200	300	300	2500	8 to 12
	200	200	200	200	200	200	200	200	1100	2200	2400	200	10 to 11
	200	200	200	200	200	200	200	200	1100	2200	200	2400	10 to 12
	200	200	200	200	200	200	200	200	1100	200	2200	2400	11 to 12
	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1 to 0
	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	2 to 0
	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	3 to 0
	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	4 to 0
	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	5 to 0
	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	6 to 0
	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	7 to 0
	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	8 to 0
	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	9 to 0
	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	10 to 0
	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	11 to 0
	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	12 to 0
